sampleName	originalIndex	Cell.Type..Samples	MajorType	JustPyra	GabaDeep	PyramidalDeep	WithOxtr	WithHtr3a	CellType	forContanim	Normalize2.0	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	PMID	SharePermit	Notes	MouseStrain	ReporterGene	Cortex.Astrocyte	Cortex.Gabaergic	Cortex.Microglia	Cortex.Oligo	Cortex.Pyramidal	Brainstem.Astrocyte	Brainstem.Microglia	Brainstem.MotorCholin	Brainstem.Oligo	Brainstem.Serotonergic	Forebrain.Astrocyte	Forebrain.Cholin	Forebrain.Microglia	Forebrain.Oligo	SpinalCord.Astrocyte	SpinalCord.Microglia	SpinalCord.MotorCholin	SpinalCord.Oligo	Striatum.Astrocyte	Striatum.Cholin	Striatum.Microglia	Striatum.Oligo	Striatum.Spiny	Cerebellum.Astrocyte	Cerebellum.Basket	Cerebellum.CerebGranule	Cerebellum.Golgi	Cerebellum.Microglia	Cerebellum.Oligo	Cerebellum.Purkinje	Amygdala.Astrocyte	Amygdala.Gluta	Amygdala.Microglia	Amygdala.Oligo	Amygdala.Pyramidal	Hippocampus.Astrocyte	Hippocampus.DentateGranule	Hippocampus.Gabaergic	Hippocampus.Microglia	Hippocampus.Oligo	Hippocampus.Pyramidal	Thalamus.Astrocyte	Thalamus.Gabaergic	Thalamus.Hypocretinergic	Thalamus.Microglia	Thalamus.Oligo	Midbrain.Astrocyte	Midbrain.Cholin	Midbrain.Dopaminergic	Midbrain.Microglia	Midbrain.Oligo	Midbrain.Serotonergic	LocusCereuleus.Astrocyte	LocusCereuleus.Microglia	LocusCereuleus.Oligo	LocusCereuleus.Th_positive_LC	Ependymal.Astrocyte	Ependymal.Ependymal	Ependymal.Microglia	Ependymal.Oligo
GSM337781	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	NA	Cholin	Cholin	Cholin	Cholin	Cholin	Cholin	TRUE	TRUE	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.139865342688262	NA	0.142636746329034	0.243567909268896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337785	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	NA	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187843515564844	0.146189559927762	NA	0.331860415187841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337786	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	NA	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.217076852357419	0.154663545096956	NA	0.37603233612329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337787	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	NA	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.190522554203889	0.156223052745491	NA	0.346788956492718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337791	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	NA	Cholin	Cholin	Cholin	Cholin	Cholin	Cholin	TRUE	TRUE	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.217868672843843	NA	0.196240767127776	0.29342628606051	0.454880475416389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337792	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	NA	Cholin	Cholin	Cholin	Cholin	Cholin	Cholin	TRUE	TRUE	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.204926259134914	NA	0.191708333830915	0.26874878833181	0.4294013468548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337793	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	NA	Cholin	Cholin	Cholin	Cholin	Cholin	Cholin	TRUE	TRUE	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.221033285529507	NA	0.20454177784029	0.320127240861457	0.462023127732964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337807	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	NA	Spiny	Spiny	Spiny	Spiny	Spiny	Spiny	TRUE	TRUE	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.242223422026371	0.326595734470245	0.169097966270441	0.292881128389999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337808	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	NA	Spiny	Spiny	Spiny	Spiny	Spiny	Spiny	TRUE	TRUE	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.242634713054491	0.325702949526289	0.171168840153914	0.295510854868714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337809	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	NA	Spiny	Spiny	Spiny	Spiny	Spiny	Spiny	TRUE	TRUE	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24662032847081	0.336826255169932	0.174055984044129	0.295785835700488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337812	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	NA	Spiny	Spiny	Spiny	Spiny	Spiny	Spiny	TRUE	TRUE	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.242733655329186	0.327529454298558	0.17513256623811	0.321632557856049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337813	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	NA	Spiny	Spiny	Spiny	Spiny	Spiny	Spiny	TRUE	TRUE	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.255071962121513	0.334064254070255	0.173765116618566	0.321475511289091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337814	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	NA	Spiny	Spiny	Spiny	Spiny	Spiny	Spiny	TRUE	TRUE	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.255051577805874	0.349412320924121	0.178771963992259	0.330791852629371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337825	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	NA	Golgi	Golgi	Golgi	Golgi	Golgi	Golgi	TRUE	TRUE	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.216825306662307	0.433049714283053	0.433460941544487	NA	0.204009274439023	0.201701964714634	0.203700811335049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337826	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	NA	Golgi	Golgi	Golgi	Golgi	Golgi	Golgi	TRUE	TRUE	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.234175496207535	0.449056912189979	0.452034072614246	NA	0.205349798001623	0.185351123909079	0.241286873308806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337827	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	NA	Golgi	Golgi	Golgi	Golgi	Golgi	Golgi	TRUE	TRUE	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.207343085870517	0.427576140438191	0.441591805968385	NA	0.205492637904787	0.193487007303573	0.210115168069603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337831	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	NA	Basket	Basket	Basket	Basket	Basket	Basket	TRUE	TRUE	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.456051094947936	NA	0.494797835451024	0.275359156328212	0.213906209012793	0.402362699797476	0.341765102767355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
