HID	humanGene	mouseGene
637	GART	Gart
638	GAS6	Gas6
639	GGCX	Ggcx
640	GHRHR	Ghrhr
641	GNRH1	Gnrh1
645	GRIN2A	Grin2a
646	GRIN2B	Grin2b
647	GRIN2C	Grin2c
648	GRIN2D	Grin2d
649	GRM1	Grm1
651	GRM3	Grm3
654	GRM8	Grm8
658	GSTM3	Gstm5
660	GSTP1	Gstp2
660	GSTP1	Gm3934
660	GSTP1	Gstp1
664	GUCY1B3	Gucy1b3
665	GUK1	Guk1
668	HRH1	Hrh1
669	HTR1B	Htr1b
671	HTR3A	Htr3a
673	HTR6	Htr6
675	ICAM2	Icam2
676	IGF2R	Igf2r
677	IL1R1	Il1r1
679	IL5	Il5
680	IL7	Il7
681	IL12A	Il12a
685	ITGB6	Itgb6
692	KITLG	Kitl
693	MGP	Mgp
695	NQO1	Nqo1
696	NQO2	Nqo2
697	NPY	Npy
699	NPR3	Npr3
700	NPY1R	Npy1r
701	NPY2R	Npy2r
708	PDE3A	Pde3a
709	PDE3B	Pde3b
712	PDHB	Pdhb
713	PGR	Pgr
715	PLA2G1B	Pla2g1b
716	PLA2G5	Pla2g5
717	PLAT	Plat
719	SERPINF2	Serpinf2
721	POLR2A	Polr2a
722	POLR2B	Polr2b
723	POMC	Pomc
725	POR	Por
726	PPIB	Ppib
727	PPIC	Ppic
730	PRIM1	Prim1
731	PRIM2	Prim2
732	PRL	Prl
733	PRLR	Prlr
734	PRRG1	Prrg1
735	PRRG2	Prrg2
736	PTGDR	Ptgdr
737	PTGDS	Ptgds
738	PTGER1	Ptger1
739	PTGER2	Ptger2
741	PTGFR	Ptgfr
743	PTGS1	Ptgs1
747	RPL3	Rpl3
748	RPL4	Rpl4
756	RPL18	Rpl18
763	RPL24	Rpl24
766	RPL30	Rpl30
768	RPL28	Rpl28
779	RPS3	Rps3
783	RPS5	Rps5
788	RPS10	Rps10
794	RPS16	Rps16
799	RPS23	Rps23
806	RRM1	Rrm1
810	SCN1B	Scn1b
811	SCNN1A	Scnn1a
813	SHBG	Shbg
816	SLC6A2	Slc6a2
817	SLC6A4	Slc6a4
819	SST	Sst
820	SSTR1	Sstr1
824	TACR3	Tacr3
825	TBXA2R	Tbxa2r
828	TNFRSF1A	Tnfrsf1a
829	TNFRSF1B	Tnfrsf1b
830	TOP2A	Top2a
833	TUBG1	Tubg1
834	TYMS	Tyms
838	VCAM1	Vcam1
839	ZAP70	Zap70
840	ALDH5A1	Aldh5a1
842	PDE5A	Pde5a
843	PLOD3	Plod3
846	AAMP	Aamp
849	ABCF1	Abcf1
854	ACLY	Acly
855	ACR	Acr
856	ACO2	Aco2
863	ACVR2B	Acvr2b
865	ADAM10	Adam10
866	ADCY7	Adcy7
868	ADCY9	Adcy9
869	ADCYAP1	Adcyap1
870	ADCYAP1R1	Adcyap1r1
871	MFSD10	Mfsd10
872	PLIN2	Plin2
873	ADM	Adm
874	ADPRH	Adprh
875	ADSS	Adss
878	AEBP1	Aebp1
879	AES	Aes
881	AFM	Afm
883	AGER	Ager
884	ALOX12B	Alox12b
886	ALOX15B	Alox8
888	AMFR	Amfr
896	NUDT2	Nudt2
897	APBA1	Apba1
898	APBB1	Apbb1
899	BIRC3	Birc3
900	BIRC2	Birc2
901	XIAP	Xiap
906	ARG2	Arg2
907	ARHGAP5	Arhgap5
908	ARHGDIA	Arhgdia
910	ARNTL	Arntl
911	ART3	Art3
912	ASGR2	Asgr2
913	ALDH7A1	Aldh7a1
914	ATP6AP1	Atp6ap1
915	AZGP1	Azgp1
916	BACH1	Bach1
917	BAK1	Bak1
920	TNFRSF17	Tnfrsf17
922	BFSP1	Bfsp1
923	BID	Bid
924	BIK	Bik
925	PRDM1	Prdm1
926	BMP2	Bmp2
927	BMP3	Bmp3
929	BMPR2	Bmpr2
930	BNIP1	Bnip1
931	KLF9	Klf9
933	BUB1B	Bub1b
936	CALU	Calu
942	CAV2	Cav2
946	CCNH	Ccnh
947	CCNT1	Ccnt1
949	TNFRSF8	Tnfrsf8
950	TNFSF8	Tnfsf8
954	CD40	Cd40
955	CD68	Cd68
956	CD70	Cd70
960	CDC27	Cdc27
963	CDK6	Cdk6
966	CDKN2C	Cdkn2c
968	CDX2	Cdx2
970	RCBTB2	Rcbtb2
975	CHEK1	Chek1
976	CHGA	Chga
979	CHUK	Chuk
980	CIRBP	Cirbp
981	TBCB	Tbcb
984	CLCA1	Clca3
985	CLCN6	Clcn6
987	CLIC5	Clic5
989	LDB2	Ldb2
990	CLNS1A	Clns1a
992	ACKR2	Ackr2
994	CNGA3	Cnga3
995	CNN1	Cnn1
996	KLF6	Klf6
997	CORT	Cort
999	CPD	Cpd
1000	CLDN4	Cldn4
1001	CLDN3	Cldn3
1002	CPN1	Cpn1
1003	CREBL2	Crebl2
1006	CSE1L	Cse1l
1011	CST6	Cst6
1012	CSTF1	Cstf1
1014	CSTF3	Cstf3
1015	CTBP1	Ctbp1
1016	CTF1	Ctf1
1017	CTNND1	Ctnnd1
1020	CTSO	Ctso
1022	CTSZ	Ctsz
1024	CXADR	Cxadr
1026	DAB2	Dab2
1027	DAD1	Dad1
1028	DGKA	Dgka
1029	DGKG	Dgkg
1032	DARS	Dars
1033	DAXX	Daxx
1035	DBP	Dbp
1038	DDT	Ddt
1039	DHX9	Dhx9
1040	DHX15	Dhx15
1042	DHCR7	Dhcr7
1043	DHODH	Dhodh
1044	DIO3	Dio3
1045	DKC1	Dkc1
1046	DLG2	Dlg2
1047	DLG4	Dlg4
1048	DNAH5	Dnah5
1049	DNAH8	Dnah8
1052	DNASE2B	Dnase2b
1053	DYNC1H1	Dync1h1
1057	DOK1	Dok1
1058	DPAGT1	Dpagt1
1059	DPH1	Dph1
1060	DPH2	Dph2
1061	DRG2	Drg2
1064	ECM2	Ecm2
1065	DUSP4	Dusp4
1066	DUSP9	Dusp9
1068	ECE1	Ece1
1069	ECH1	Ech1
1071	S1PR1	S1pr1
1072	LPAR1	Lpar1
1075	EFNA2	Efna2
1076	EFNB3	Efnb3
1077	CELSR3	Celsr3
1078	CELSR2	Celsr2
1080	EIF2B1	Eif2b1
1088	EMP1	Emp1
1089	EMP2	Emp2
1090	EMP3	Emp3
1094	EP300	Ep300
1095	EPAS1	Epas1
1097	EREG	Ereg
1099	FBL	Fbl
1100	ESR2	Esr2
1102	EXTL2	Extl2
1103	EXTL3	Extl3
1106	FABP1	Fabp1
1108	FABP6	Fabp6
1110	FAT2	Fat2
1114	FOXF1	Foxf1
1115	FOXF2	Foxf2
1117	FOXJ1	Foxj1
1119	FLNA	Flna
1126	FRZB	Frzb
1127	ADAM2	Adam2
1132	GABBR1	Gabbr1
1133	B4GALNT1	B4galnt1
1135	GAS8	Gas8
1136	GATM	Gatm
1137	GBAS	Gbas
1138	GBX2	Gbx2
1139	GCKR	Gckr
1140	BLOC1S1	Bloc1s1
1145	GFRA2	Gfra2
1146	GFRA3	Gfra3
1148	GCLC	Gclc
1152	GPLD1	Gpld1
1153	CXCR3	Cxcr3
1155	GPX5	Gpx5
1158	GTF2B	Gtf2b
1159	GTF2H2	Gtf2h2
1160	GTF2H3	Gtf2h3
1161	BRF1	Brf1
1165	HAS1	Has1
1166	HCRT	Hcrt
1168	HCRTR2	Hcrtr2
1170	HGFAC	Hgfac
1171	HIF1A	Hif1a
1174	HNRNPL	Hnrnpl
1180	HSPB1	Hspb1
1182	IGSF3	Igsf3
1185	ICT1	Ict1
1186	ID4	Id4
1187	IFIT2	Ifit2
1189	IFIT3	I830012O16Rik
1189	IFIT3	Ifit3
1192	IGFBP4	Igfbp4
1193	IGFBP7	Igfbp7
1194	CYR61	Cyr61
1195	IGSF1	Igsf1
1196	IL10RA	Il10ra
1197	IL12RB2	Il12rb2
1198	IL13RA1	Il13ra1
1199	TNFRSF9	Tnfrsf9
1200	IL18	Il18
1201	IMPG1	Impg1
1203	CXCL10	Cxcl10
1204	INPPL1	Inppl1
1205	EIF3E	Eif3e
1207	IRAK2	Irak2
1208	IRF3	Irf3
1212	PAX6	Pax6
1213	AARS	Aars
1216	ACADSB	Acadsb
1217	ACP2	Acp2
1219	ACRV1	Acrv1
1221	ADD2	Add2
1222	PARP1	Parp1
1223	ADRBK1	Adrbk1
1224	AHR	Ahr
1225	AHSG	Ahsg
1226	AIF1	Aif1
1227	AK2	Ak2
1229	ALCAM	Alcam
1231	ALOX5AP	Alox5ap
1234	AMBP	Ambp
1235	AMD1	Amd2
1235	AMD1	Amd1
1238	AOAH	Aoah
1240	APEH	Apeh
1241	APEX1	Apex1
1242	APOA2	Apoa2
1243	APOBEC1	Apobec1
1245	APOC4	Apoc4
1246	APOD	Apod
1249	ARAF	Araf
1250	ARCN1	Arcn1
1251	TRIM23	Trim23
1252	AREG	Areg
1255	ARL4D	Arl4d
1256	ARF6	Arf6
1260	ARL2	Arl2
1261	ARNT	Arnt
1263	ASGR1	Asgr1
1264	ASIP	a
1265	ATF3	Atf3
1266	ATF4	Atf4
1272	ATP5J	Atp5j
1273	ATP5B	Atp5b
1275	ATP5F1	Atp5f1
1279	ATP6V1B2	Atp6v1b2
1281	ATP6V1C1	Atp6v1c1
1282	ATP6V1E1	Atp6v1e1
1283	ATP5O	Atp5o
1284	AUH	Auh
1286	BAAT	Baat
1287	BAI1	Bai1
1288	BAI2	Bai2
1289	BAI3	Bai3
1290	BCL7B	Bcl7b
1291	OPN1SW	Opn1sw
1292	CFB	Cfb
1293	BGN	Bgn
1295	BHMT	Bhmt
1297	BLK	Blk
1298	CXCR5	Cxcr5
1300	BMP6	Bmp6
1302	TEC	Tec
1303	POLR3D	Polr3d
1307	BRS3	Brs3
1308	BSG	Bsg
1309	BTC	Btc
1312	BTN1A1	Btn1a1
1313	C1R	C1rb
1313	C1R	C1ra
1314	C1S	Gm5077
1314	C1S	C1s
1318	CALB2	Calb2
1320	CALCR	Calcr
1323	CAMLG	Caml
1324	CANX	Canx
1326	CAPN2	Capn2
1327	CAPNS1	Capns1
1328	CARS	Cars
1330	CAV1	Cav1
1331	RUNX1	Runx1
1334	CCND1	Ccnd1
1335	CCNF	Ccnf
1336	CCT6A	Cct6a
1337	CD1D	Cd1d1
1338	CD2	Cd2
1341	CD19	Cd19
1343	CD34	Cd34
1345	CD38	Cd38
1346	CD47	Cd47
1347	CD48	Cd48
1350	CD72	Cd72
1352	CDA	Cda
1354	SEPT7	Sept7
1355	CDC25A	Cdc25a
1356	CDC25C	Cdc25c
1359	CDH5	Cdh5
1361	CDH11	Cdh11
1363	CDK7	Cdk7
1365	CDO1	Cdo1
1366	CDX1	Cdx1
1367	CEBPE	Cebpe
1368	CEBPG	Cebpg
1369	CENPA	Cenpa
1370	CENPB	Cenpb
1371	CENPC	Cenpc1
1373	CTSC	Ctsc
1375	CHGB	Chgb
1382	CLU	Clu
1383	CLPS	Clps
1384	CLTA	Clta
1387	CCR7	Ccr7
1389	CNR2	Cnr2
1390	COL4A2	Col4a2
1391	COL6A1	Col6a1
1392	COL6A2	Col6a2
1393	COL9A1	Col9a1
1396	COL15A1	Col15a1
1397	COL16A1	Col16a1
1399	SLC31A1	Slc31a1
1406	COX7B	Cox7b
1412	CAD	Cad
1413	CPT1A	Cpt1a
1415	CRABP2	Crabp2
1418	CRHBP	Crhbp
1420	HAPLN1	Hapln1
1422	CRYBA4	Cryba4
1423	CRYBB1	Crybb1
1424	CRYM	Crym
1426	CSN2	Csn2
1431	CTGF	Ctgf
1432	CTH	Cth
1433	CTNNA1	Ctnna1
1434	CTNNB1	Ctnnb1
1444	DBT	Dbt
1447	DCT	Dct
1448	DDB1	Ddb1
1449	GADD45A	Gadd45a
1453	DHPS	Dhps
1455	MPP7	Mpp7
1456	DLST	Dlst
1458	DPT	Dpt
1461	ATN1	Atn1
1462	DSC3	Dsc3
1463	DSG1	Dsg1a
1463	DSG1	Dsg1b
1464	DSG2	Dsg2
1466	HBEGF	Hbegf
1468	DUSP7	Dusp7
1471	E2F4	E2f4
1472	E2F5	E2f5
1473	E2F6	E2f6
1474	TYMP	Tymp
1476	EDN1	Edn1
1477	EDN2	Edn2
1478	EDNRA	Ednra
1480	EEF1B2	Eef1b2
1482	EFNA5	Efna5
1483	EGF	Egf
1485	EGR4	Egr4
1486	EHHADH	Ehhadh
1487	EIF4A2	Eif4a2
1490	EIF5A2	Eif5a2
1492	ELK4	Elk4
1493	EMR1	Emr1
1496	DMTN	Dmtn
1501	ERCC1	Ercc1
1503	ETFB	Etfb
1504	ETV4	Etv4
1506	EVPL	Evpl
1507	EVX1	Evx1
1508	EYA3	Eya3
1510	F2R	F2r
1511	F3	F3
1512	F13B	F13b
1514	FBLN2	Fbln2
1515	FBN2	Fbn2
1516	FCER1A	Fcer1a
1517	FCER2	Fcer2a
1518	FCN1	Fcnb
1519	FDPS	Fdps
1521	FGF2	Fgf2
1522	FGF4	Fgf4
1523	FGF9	Fgf9
1525	FKBP3	Fkbp3
1527	FOXO1	Foxo1
1530	FMOD	Fmod
1531	FMR1	Fmr1
1533	FN1	Fn1
1534	FNTA	Fnta
1535	FNTB	Fntb
1538	FUT4	Fut4
1539	KDSR	Kdsr
1542	GAB1	Gab1
1543	GABPA	Gabpa
1545	GAP43	Gap43
1547	GARS	Gars
1548	GAS1	Gas1
1549	GATA1	Gata1
1550	GATA3	Gata3
1551	GATA4	Gata4
1554	GFAP	Gfap
1556	GJA4	Gja4
1557	GCLM	Gclm
1558	GLP1R	Glp1r
1563	GNA15	Gna15
1566	GNAQ	Gnaq
1568	GNS	Gns
1571	GOT1	Got1
1572	GOT2	Got2
1576	GRB2	Grb2
1577	GRN	Grn
1578	GRIK5	Grik5
1580	GRP	Grp
1585	GTF2F1	Gtf2f1
1586	GUCA1B	Guca1b
1592	HARS	Hars
1593	HTT	Htt
1596	HIVEP1	Hivep1
1601	HLA-DOA	H2-Oa
1602	HLA-DOB	H2-Ob
1603	HLA-DQB1	H2-Ab1
1609	HMGCS1	Hmgcs1
1611	HMOX2	Hmox2
1612	NR4A1	Nr4a1
1615	HOXB1	Hoxb1
1617	HOXB3	Hoxb3
1619	HOXD10	Hoxd10
1620	HPD	Hpd
1624	HSPA4	Hspa4
1626	HSPD1	Hspd1
1629	IRF8	Irf8
1631	ID1	Id1
1632	ID2	Id2
1633	ID3	Id3
1640	IFNB1	Ifnb1
1641	IGFBP6	Igfbp6
1642	IGHMBP2	Ighmbp2
1643	IL1RAP	Il1rap
1645	IL6ST	Il6st
1646	IL7R	Il7r
1648	IL12B	Il12b
1649	IL13	Il13
1650	IL15RA	Il15ra
1651	IL17A	Il17a
1652	INHA	Inha
1653	INHBA	Inhba
1654	INHBB	Inhbb
1655	INPP1	Inpp1
1657	ACO1	Aco1
1658	IRF1	Irf1
1659	IRF2	Irf2
1661	ISL1	Isl1
1662	ITGA2	Itga2
1664	ITGA9	Itga9
1666	ITGAL	Itgal
1667	ITIH1	Itih1
1668	ITIH2	Itih2
1669	ITIH3	Itih3
1670	ITIH4	Itih4
1671	ITPKA	Itpka
1672	ITPKB	Itpkb
1673	ITPR1	Itpr1
1675	ITPR3	Itpr3
1676	IVD	Ivd
1677	JAG2	Jag2
1678	JAK1	Jak1
1679	JUN	Jun
1680	JUP	Jup
1683	KCNA5	Kcna5
1684	KCNA6	Kcna6
1687	KCNJ3	Kcnj3
1688	KCNJ6	Kcnj6
1689	KCNJ10	Kcnj10
1690	KCNJ15	Kcnj15
1691	KCNK1	Kcnk1
1692	KCNK3	Kcnk3
1693	KCNMA1	Kcnma1
1696	KCNN4	Kcnn4
1701	KISS1	Kiss1
1705	KLRD1	Klrd1
1707	KPNB1	Kpnb1
1708	KPNA2	Kpna2
1710	IPO5	Ipo5
1712	KRT15	Krt15
1713	KRT19	Krt19
1715	KRT35	Krt35
1717	KRT86	Krt86
1718	AFF3	Aff3
1719	LAG3	Lag3
1720	LALBA	Lalba
1722	LAMB1	Lamb1
1723	LAMB2	Lamb2
1724	LAMC1	Lamc1
1730	LECT2	Lect2
1731	LEPR	Lepr
1734	LIF	Lif
1735	LIFR	Lifr
1736	LIG4	Lig4
1738	LIMK1	Limk1
1741	LOX	Lox
1742	LOXL2	Loxl2
1744	LRP1	Lrp1
1745	LRP3	Lrp3
1746	LRP5	Lrp5
1747	LRP6	Lrp6
1750	LSP1	Lsp1
1752	LTB	Ltb
1753	LTBR	Ltbr
1754	LTF	Ltf
1758	LY6H	Ly6h
1759	LY9	Ly9
1762	SH2D1A	Sh2d1a
1763	TACSTD2	Tacstd2
1764	EPCAM	Epcam
1767	MXD1	Mxd1
1768	MAD2L1	Mad2l1
1770	MAFK	Mafk
1771	MAG	Mag
1776	MAGOH	Magoh
1777	MAN2A1	Man2a1
1778	MAP1A	Map1a
1779	MAP2	Map2
1780	MAP4	Map4
1782	MAS1	Mas1
1783	MATN1	Matn1
1785	MATN3	Matn3
1786	MAX	Max
1788	MBP	Mbp
1789	MC1R	Mc1r
1791	MCM3	Mcm3
1792	MDK	Mdk
1793	MDM2	Mdm2
1794	MDM4	Mdm4
1795	SLC3A2	Slc3a2
1800	MEST	Mest
1801	MFAP2	Mfap2
1803	MFNG	Mfng
1804	MGAT1	Mgat1
1806	MGAT2	Mgat2
1808	MGAT5	Mgat5
1811	MGST2	Mgst2
1814	MKI67	Mki67
1820	MMP19	Mmp19
1821	MNAT1	Mnat1
1824	MPG	Mpg
1825	MPI	Mpi
1826	MPP1	Mpp1
1829	MSH3	Msh3
1830	MSH4	Msh4
1832	MSMB	Msmb
1833	MSN	Msn
1834	MAP3K10	Map3k10
1835	MST1R	Mst1r
1836	MSX1	Msx1
1837	MSX2	Msx2
1838	MTAP	Mtap
1839	NUDT1	Nudt1
1840	MTIF2	Mtif2
1842	IRF4	Irf4
1843	MVD	Mvd
1846	MYBPC1	Mybpc1
1847	MYBL2	Mybl2
1849	MYD88	Myd88
1850	MYF6	Myf6
1854	MYOG	Myog
1855	PPP1R12A	Ppp1r12a
1857	NUBP1	Nubp1
1858	NBN	Nbn
1859	NCBP1	Ncbp1
1861	NDUFA6	Ndufa6
1864	NDUFB6	Ndufb6
1865	NDUFC1	Ndufc1
1866	NDUFS4	Ndufs4
1867	NDUFS8	Ndufs8
1869	NEK3	Nek3
1870	NEO1	Neo1
1871	NEUROD1	Neurod1
1872	NFIX	Nfix
1873	NFKB2	Nfkb2
1875	NFX1	Nfx1
1876	NGF	Ngf
1877	NGFR	Ngfr
1878	NID1	Nid1
1879	NKX2-2	Nkx2-2
1880	GPNMB	Gpnmb
1884	NOV	Nov
1886	NPAS1	Npas1
1887	NPAS2	Npas2
